Family,Sub-family,Address,Barcode,Base Unit,Branch,Brand,City,Client Category 1,Client Category 2,Client Category 3,Client Code,Client ID,Client Name,Cost Center,Cur,Date,Invoice,Product Code,Product Description,Product Name,Project,Unit,Year,Amount,Amount  LBP,Amount  USD,Gross Amount,Gross Amount  LBP,Gross Amount  USD,Net Amount,Net Amount  LBP,Net Amount  USD,Net Quantity,Net Selling,Quantity
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,25/09/2023,SA/2023/187,SF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,28824000,28824000,322.25232,28824000,28824000,322.25232,28824000,0,38.98,3,28824000,3
SEA FREIGHT,,,,,,,,,,,,,,,,,,STG-STG-JAD,,STORAGE AT JADRA (VAT),Shipment,Pcs,2019,1547,138456500,1547,1547,138456500,1547,1717.17,15230215,21.1,2,1547,2
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/687,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,110,9845000,110,110,9845000,110,110,0,17.69,1,110,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,,,AF-EXP-SEC,,SECURITY FOR AIR FREIGHT CARGO,Shipment,Pcs,2019,10,894500,10,10,894500,10,10,0,35.7,1,10,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/76,AF-EXP-CCF-DES,,CUSTOM CLEARANCE FORMALITIES AT ,Shipment,Pcs,2019,26,2321800,26,26,2321800,26,26,0,31.09,1,26,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/249,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,33,2951850,33,33,2951850,33,33,0,22.44,1,33,1
SEA FREIGHT,,,,,,,,,,,,,,,,,SA/2024/1191,STG-LD-OF-VAT,,LOADING/OFFLOADING (VAT),Shipment,Pcs,2019,212,18974000,212,212,18974000,212,235.32,2087140,14.43,1,212,1
AIR FREIGHT,IMPORT,,,,,,,,,,,,,,,,,AF-IMP-FRT,,AIR FREIGHT - IMPORT,Shipment,Pcs,2019,1075,95997500,1075,1075,95997500,1075,1075,0,26.82,1,1075,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/271,SF-EXP-ADD-EXP,,ADDITIONAL EXPENSES,Shipment,Pcs,2019,275,24612500,275,275,24612500,275,275,0,36.28,2,275,2
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,527.8,47211710,527.8,527.8,47211710,527.8,527.8,0,16.92,1,527.8,1
AIR FREIGHT,EXPORT,,,,,,,,,,,,,,,,,AF-EXP-SEC,,SECURITY FOR AIR FREIGHT CARGO,Shipment,Pcs,2019,158,14062000,158,158,14062000,158,158,0,39.24,1,158,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-COO,,CERTIFICATE OF ORIGIN FEE,Shipment,Pcs,2019,50,4472500,50,50,4472500,50,50,0,26.49,1,50,1
SEA FREIGHT,CLEARANCE ,"Aresco center
9th floor
",,Pcs,GIFCO 2023,DEFAULT,,Default,,,شركة خدمات ,1535,ADVANCED CONSTRUCTION ,OPERATION ACTIVITIES,USD,20/05/2024,SA/2024/418,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,431,38574500,431,431,38574500,431,478.41,4243195,18.67,5,431,5
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-CF,,EXPORT FORMALITIES SF CARGO,Shipment,Pcs,2019,250,22300000,250,250,22300000,250,250,0,38.01,1,250,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-LOC-TRP-VAT,,LOCAL TRANSPORTATION (VAT),Shipment,Pcs,2019,140,12530000,140,140,12530000,140,155.4,1378300,34.56,1,140,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,19/10/2023,SA/2023/392,SF-EXP-ADD-EXP,,ADDITIONAL EXPENSES,Shipment,Pcs,2019,25,2236250,25,25,2236250,25,25,0,29.42,1,25,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2023/441,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,198,17711100,198,198,17711100,198,198,0,32.29,6,198,6
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-CF,,EXPORT FORMALITIES SF CARGO,Shipment,Pcs,2019,250,22300000,250,250,22300000,250,250,0,15.82,1,250,1
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,,,SF-IMP-FOR-VAT,,PORT FORMALITIES (VAT),Shipment,Pcs,2019,300,26850000,300,300,26850000,300,333,2953500,30.46,1,300,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,875,78268750,875,875,78268750,875,875,0,23.06,1,875,1
SEA FREIGHT,,,,,,,,,,,,,,,,2/10/2023,SA/2023/237,STG-STG-JAD,,STORAGE AT JADRA (VAT),Shipment,Pcs,2019,700,62615000,700,700,62615000,700,777,6583500,14.11,1,700,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,445,39738500,445,445,39738500,445,445,0,19.21,1,445,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,SA/2024/105,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,36,3222000,36,36,3222000,36,36,0,33.11,1,36,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,425,38037500,425,425,38037500,425,425,0,29.93,1,375.22,1
SEA FREIGHT,IMPORT,"Verdan -Unesco street 
beirut",,Pcs,GIFCO 2023,DEFAULT,,Default,,,000399,109,BATAL DESIGN S.A.L,OPERATION ACTIVITIES,USD,1/9/2023,SA/2023/67,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,824,73583200,824,824,73583200,824,824,0,35.46,2,824,2
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,29/07/2024,SA/2024/627,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,380,34010000,380,380,34010000,380,421.8,3741100,24.03,4,380,4
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,12/9/2024,SA/2024/918,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,45,4027500,45,45,4027500,45,45,0,44.54,1,45,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,3871,346454500,3871,3871,346454500,3871,3871,0,18.63,1,3871,1
SEA FREIGHT,IMPORT,"Aresco center
9th floor
",,Pcs,GIFCO 2023,DEFAULT,,Default,,,شركة خدمات ,1535,ADVANCED CONSTRUCTION ,OPERATION ACTIVITIES,LBP,20/05/2024,SA/2024/419,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,14239000,14239000,159.04963,14239000,14239000,159.04963,14239000,0,49.59,5,14239000,5
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/1342,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,450,40275000,450,450,40275000,450,450,0,42.84,1,450,1
SEA FREIGHT,CLEARANCE ,LEBANON -,,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1544,MUSTAPHA EL- MUSTAPHA,OPERATION ACTIVITIES,USD,1/7/2024,SA/2024/537,SF-IMP-CCF,,CUSTOM CLEARANCE FORMALITIES - IMPORT,Shipment,Pcs,2019,21300,1906350000,21300,21300,1906350000,21300,21300,0,12.59,1,21300,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,445,39738500,445,445,39738500,445,445,0,17.18,1,445,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,7/3/2024,SA/2024/194,SF-EXP-CARGOX,,CARGO X FEE,Shipment,Pcs,2019,50,4475000,50,50,4475000,50,50,0,46.13,1,50,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-LOC-TRP-VAT,,LOCAL TRANSPORTATION (VAT),Shipment,Pcs,2019,375,33562500,375,375,33562500,375,416.25,3691875,41.35,1,375,1
AIR FREIGHT,EXPORT,First secretary & Head of economic affairs at ,,Pcs,GIFCO 2023,DEFAULT,,Default,,,GFC-013101,279,IMADA SAGITA SIMNOLON,OPERATION ACTIVITIES,USD,21/03/2024,SA/2024/248,AF-EXP-FRT,,AIR FREIGHT EXPORT,Shipment,Pcs,2019,365,32667500,365,365,32667500,365,365,0,47.74,1,365,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,,SF-EXP-FRT,,OCEAN FREIGHT (EXPORT),Shipment,Pcs,2019,370,33115000,370,370,33115000,370,370,0,38.5,1,370,1
