Family,Sub-family,Product Name,Year,Amount  USD,Gross Amount  USD,Net Amount  USD,Quantity,Profit Margin,Average Price
SEA FREIGHT,CLEARANCE ,CUSTOM CLEARANCE FORMALITIES - IMPORT,2019,322.25232,322.25232,38.98,3.0,-0.87903888480927,12.993333333333332
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2019,1547.0,1547.0,21.1,2.0,-0.9863606981254041,10.55
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,110.0,110.0,17.69,1.0,-0.8391818181818183,17.69
AIR FREIGHT,EXPORT,SECURITY FOR AIR FREIGHT CARGO,2019,10.0,10.0,35.7,1.0,2.5700000000000003,35.7
AIR FREIGHT,EXPORT,CUSTOM CLEARANCE FORMALITIES AT ,2019,26.0,26.0,31.09,1.0,0.19576923076923075,31.09
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,33.0,33.0,22.44,1.0,-0.31999999999999995,22.44
SEA FREIGHT,EXPORT,LOADING/OFFLOADING (VAT),2019,212.0,212.0,14.43,1.0,-0.9319339622641509,14.43
AIR FREIGHT,IMPORT,AIR FREIGHT - IMPORT,2019,1075.0,1075.0,26.82,1.0,-0.9750511627906977,26.82
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,275.0,275.0,36.28,2.0,-0.8680727272727272,18.14
SEA FREIGHT,IMPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,527.8,527.8,16.92,1.0,-0.967942402425161,16.92
AIR FREIGHT,EXPORT,SECURITY FOR AIR FREIGHT CARGO,2019,158.0,158.0,39.24,1.0,-0.7516455696202531,39.24
SEA FREIGHT,EXPORT,CERTIFICATE OF ORIGIN FEE,2019,50.0,50.0,26.49,1.0,-0.4702,26.49
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2019,431.0,431.0,18.67,5.0,-0.9566821345707657,3.7340000000000004
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2019,250.0,250.0,38.01,1.0,-0.84796,38.01
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2019,140.0,140.0,34.56,1.0,-0.7531428571428571,34.56
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,25.0,25.0,29.42,1.0,0.17680000000000007,29.42
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,198.0,198.0,32.29,6.0,-0.836919191919192,5.381666666666667
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2019,250.0,250.0,15.82,1.0,-0.93672,15.82
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2019,300.0,300.0,30.46,1.0,-0.8984666666666667,30.46
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,875.0,875.0,23.06,1.0,-0.9736457142857143,23.06
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2019,700.0,700.0,14.11,1.0,-0.9798428571428571,14.11
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,445.0,445.0,19.21,1.0,-0.9568314606741574,19.21
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,36.0,36.0,33.11,1.0,-0.0802777777777778,33.11
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,425.0,425.0,29.93,1.0,-0.9295764705882352,29.93
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,824.0,824.0,35.46,2.0,-0.9569660194174757,17.73
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2019,380.0,380.0,24.03,4.0,-0.936763157894737,6.0075
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,45.0,45.0,44.54,1.0,-0.010222222222222242,44.54
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,3871.0,3871.0,18.63,1.0,-0.9951872901059158,18.63
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,159.04963,159.04963,49.59,5.0,-0.6882105290028024,9.918000000000001
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,450.0,450.0,42.84,1.0,-0.9047999999999999,42.84
SEA FREIGHT,CLEARANCE ,CUSTOM CLEARANCE FORMALITIES - IMPORT,2019,21300.0,21300.0,12.59,1.0,-0.9994089201877934,12.59
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,445.0,445.0,17.18,1.0,-0.9613932584269663,17.18
SEA FREIGHT,EXPORT,CARGO X FEE,2019,50.0,50.0,46.13,1.0,-0.07739999999999995,46.13
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2019,375.0,375.0,41.35,1.0,-0.8897333333333333,41.35
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2019,365.0,365.0,47.74,1.0,-0.8692054794520547,47.74
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,370.0,370.0,38.5,1.0,-0.8959459459459459,38.5
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,90.0,90.0,10.16,1.0,-0.8871111111111112,10.16
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,15.0,15.0,28.6,1.0,0.9066666666666667,28.6
SEA FREIGHT,CLEARANCE ,ADDITIONAL EXPENSES,2019,1268.7984,1268.7984,11.72,2.0,-0.9907629139507111,5.86
SEA FREIGHT,IMPORT,OCEAN FREIGHT - IMPORT,2019,11800.0,11800.0,12.88,1.0,-0.9989084745762713,12.88
SEA FREIGHT,IMPORT,OCEAN FREIGHT - IMPORT,2019,600.0,600.0,49.16,1.0,-0.9180666666666667,49.16
STORAGE/WAREHOUSING,COCODILLE,STORAGE AT COCODILLE-VAT,2019,900.0,900.0,46.66,1.0,-0.9481555555555556,46.66
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,2723.0,2723.0,36.97,1.0,-0.9864230627983842,36.97
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,6277.81925,6277.81925,36.7,6.0,-0.9941540209205609,6.116666666666667
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2019,365.0,365.0,45.18,2.0,-0.8762191780821917,22.59
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2019,125.0,125.0,42.47,1.0,-0.66024,42.47
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,370.0,370.0,39.03,1.0,-0.8945135135135136,39.03
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,25.0,25.0,45.32,1.0,0.8128,45.32
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2019,350.0,350.0,38.26,1.0,-0.8906857142857143,38.26
STORAGE/WAREHOUSING,COCODILLE,STORAGE AT COCODILLE-VAT,2019,300.0,300.0,18.41,2.0,-0.9386333333333332,9.205
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,434.59,434.59,41.33,3.0,-0.9048988701994984,13.776666666666666
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,4290.53104,4290.53104,26.97,7.0,-0.9937140648212162,3.8528571428571428
SEA FREIGHT,CLEARANCE ,ADDITIONAL EXPENSES,2019,2.9627,2.9627,11.27,1.0,2.803962601680899,11.27
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,246.87934,246.87934,16.51,4.0,-0.9331252262745032,4.1275
SEA FREIGHT,EXPORT,DETENTION,2019,120.0,120.0,38.9,2.0,-0.6758333333333333,19.45
SEA FREIGHT,IMPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,528.0,528.0,14.21,2.0,-0.9730871212121212,7.105
STORAGE/WAREHOUSING,COCODILLE,STORAGE AT COCODILLE-VAT,2019,1200.0,1200.0,48.76,3.0,-0.9593666666666667,16.253333333333334
SEA FREIGHT,CLEARANCE ,CUSTOM CLEARANCE FORMALITIES - IMPORT,2019,179.144,179.144,34.12,3.0,-0.8095386951279417,11.373333333333333
STORAGE/WAREHOUSING,JIYEH,LOADING/OFFLOADING (VAT),2019,250.0,250.0,11.73,2.0,-0.95308,5.865
SEA FREIGHT,EXPORT,CUSTOMS CLEARANCE FORMALITIES AT ,2019,250.0,250.0,40.54,1.0,-0.83784,40.54
SEA FREIGHT,EXPORT,TRANSPORTATION FROM-TO WAREHOUSE (VAT),2019,9.01,9.01,34.96,1.0,2.880133185349612,34.96
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,2290.0,2290.0,42.46,1.0,-0.9814585152838428,42.46
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,470.0,470.0,16.49,1.0,-0.9649148936170212,16.49
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,45.0,45.0,43.35,1.0,-0.03666666666666663,43.35
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,370.0,370.0,15.64,1.0,-0.9577297297297298,15.64
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2019,1063.0,1063.0,35.64,1.0,-0.9664722483537158,35.64
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,90.0,90.0,12.32,1.0,-0.8631111111111112,12.32
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,33.0,33.0,40.46,1.0,0.22606060606060607,40.46
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,1197.0,1197.0,12.24,1.0,-0.9897744360902255,12.24
STORAGE/WAREHOUSING,COCODILLE,STORAGE AT COCODILLE-VAT,2019,1200.0,1200.0,42.26,3.0,-0.9647833333333333,14.086666666666666
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,50.0,50.0,45.3,1.0,-0.09400000000000006,45.3
SEA FREIGHT,EXPORT,CARGO X FEE,2019,200.0,200.0,19.91,1.0,-0.90045,19.91
SEA FREIGHT,IMPORT,DELIVERY ORDER (VAT),2019,20.0,20.0,47.61,1.0,1.3805,47.61
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,15.0,15.0,38.44,1.0,1.5626666666666664,38.44
