Freight Type,Client,Family,Commodity,Packages,Gross Weight,Shipper,From,To,Year,Month,Route,Weight per Package,Season
Land,Client_1,STORAGE,CALCIUM HYPOCHLORITE 65%,44,47760,CHLOR PARS CO,IRN - Islamic Republic of Iran,IRN - Islamic Republic of Iran,2023,8,IRN - Islamic Republic of Iran → IRN - Islamic Republic of Iran,1085.454545,Summer
Land,Client_2,MACHINES,Batteries,2,0,POWER TECH SAL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
Land,Client_3,STORAGE,Batteries,5,0,POWER GROUP SARL,LBN - Lebanese Republic       ,LBN - Lebanese Republic       ,2023,8,LBN - Lebanese Republic        → LBN - Lebanese Republic       ,0,Summer
